@relation 'pLoc-mGneg_combine: -C 8'

@attribute cat1 {0,1}
@attribute cat2 {0,1}
@attribute cat3 {0,1}
@attribute cat4 {0,1}
@attribute cat5 {0,1}
@attribute cat6 {0,1}
@attribute cat7 {0,1}
@attribute cat8 {0,1}
@attribute vec1 numeric
@attribute vec2 numeric
@attribute vec3 numeric
@attribute vec4 numeric
@attribute vec5 numeric
@attribute vec6 numeric
@attribute vec7 numeric
@attribute vec8 numeric

@data
0,1,0,0,0,0,0,0,0.86,1.00,0.62,0.13,0.00,0.00,0.04,0.18
1,0,0,0,0,0,0,0,1.00,0.50,0.50,0.05,0.01,0.00,0.04,0.25
0,0,0,1,0,1,0,0,0.44,0.11,0.22,0.92,0.01,0.67,0.00,0.11
0,0,0,0,1,0,0,0,0.00,0.18,0.00,0.29,0.86,0.16,0.00,0.05
0,0,1,0,0,0,0,0,0.96,0.14,1.00,0.08,0.01,0.00,0.14,0.07
0,0,1,0,0,0,0,0,0.50,0.14,1.00,0.05,0.00,0.00,0.09,0.01
1,0,0,0,0,0,0,0,1.00,0.38,0.95,0.67,0.00,0.67,0.01,0.33
0,0,0,0,0,0,0,1,0.69,0.14,0.14,0.04,0.00,0.00,0.00,0.94
1,0,0,0,0,0,0,0,1.00,0.38,0.25,0.02,0.00,0.00,0.00,0.10
0,0,0,0,0,0,0,1,0.40,0.03,0.46,0.07,0.01,0.00,0.01,0.94
0,0,1,0,0,0,0,0,0.35,0.07,1.00,0.06,0.01,0.00,0.04,0.32
1,0,0,0,0,0,0,0,1.00,0.16,0.46,0.07,0.00,0.00,0.00,0.26
0,0,0,1,0,0,0,0,0.01,0.18,0.06,0.92,0.86,0.16,0.00,0.05
1,0,0,0,0,0,0,0,1.00,0.16,0.46,0.07,0.00,0.00,0.00,0.26
1,0,0,0,0,0,0,0,0.96,0.16,0.67,0.50,0.00,0.00,0.00,0.18
0,0,0,1,0,0,0,0,0.96,0.42,0.07,0.92,0.01,0.08,0.00,0.25
0,0,0,0,1,0,0,0,0.00,0.18,0.00,0.29,0.86,0.16,0.00,0.05
0,0,1,0,0,0,0,0,0.16,0.14,0.96,0.03,0.00,0.00,0.02,0.01
0,0,1,0,0,0,0,0,0.30,0.17,1.00,0.07,0.00,0.00,0.02,0.33
0,0,0,0,0,0,0,1,0.84,0.14,0.09,0.04,0.00,0.00,0.00,0.94
1,0,1,0,0,0,0,0,1.00,0.25,1.00,0.31,0.00,0.00,0.04,0.50
1,0,0,0,0,0,0,0,0.96,0.16,0.07,0.02,0.00,0.00,0.00,0.02
0,0,0,1,0,0,0,0,0.22,0.14,0.64,0.92,0.01,0.08,0.00,0.26
0,0,0,1,0,0,0,0,0.48,0.25,0.58,1.00,0.02,0.08,0.00,0.04
0,0,1,0,0,0,0,0,0.41,0.07,1.00,0.33,0.01,0.00,0.04,0.20
1,0,1,0,0,0,0,0,1.00,0.16,1.00,0.07,0.01,0.00,0.04,0.26
0,0,0,0,0,0,0,1,0.18,0.13,0.68,0.40,0.00,0.00,0.00,1.00
0,0,0,0,0,0,0,1,0.32,0.08,0.96,0.50,0.00,0.00,0.02,0.94
0,0,0,0,0,0,0,1,0.96,0.16,0.42,0.02,0.01,0.00,0.01,0.86
0,1,0,0,0,0,0,0,0.86,0.97,0.07,0.03,0.00,0.00,0.00,0.10
1,0,0,0,0,0,0,0,1.00,0.25,0.07,0.02,0.00,0.00,0.00,0.02
0,0,0,0,1,0,0,0,0.00,0.18,0.00,0.29,0.86,0.16,0.00,0.05
0,1,0,0,0,0,0,0,0.86,1.00,0.50,0.05,0.01,0.00,0.04,0.32
0,0,1,0,0,0,0,0,0.16,0.14,1.00,0.05,0.00,0.00,0.09,0.07
0,1,0,0,0,0,0,0,0.25,0.42,0.96,0.04,0.00,0.00,0.02,0.25
1,0,0,0,0,0,0,0,1.00,0.16,0.42,0.02,0.01,0.00,0.01,0.32
0,0,1,0,0,0,0,0,0.76,0.07,1.00,0.05,0.01,0.00,0.04,0.17
1,0,0,0,0,0,0,0,1.00,0.16,0.62,0.06,0.01,0.00,0.19,0.40
0,0,1,0,0,0,0,0,0.99,0.20,1.00,0.06,0.01,0.00,0.01,0.49
0,0,0,0,0,0,0,1,0.75,0.20,0.13,0.04,0.00,0.00,0.00,0.94
1,0,0,0,0,0,0,0,1.00,0.16,0.66,0.27,0.00,0.00,0.00,0.20
1,0,0,0,0,0,0,0,1.00,0.16,0.93,0.27,0.01,0.00,0.04,0.39
0,0,1,0,0,0,0,0,0.50,0.14,1.00,0.05,0.00,0.00,0.09,0.07
0,1,0,0,0,0,0,0,0.25,0.42,0.96,0.05,0.00,0.00,0.09,0.25
0,0,1,0,0,0,0,0,0.45,0.07,1.00,0.33,0.01,0.00,0.50,0.22
1,0,0,0,0,0,0,0,0.96,0.25,0.13,0.62,0.00,0.00,0.00,0.11
0,0,0,0,0,0,0,1,0.64,0.07,0.46,0.27,0.00,0.00,0.00,1.00
0,1,0,0,0,0,0,0,0.86,1.00,0.40,0.03,0.00,0.00,0.00,0.33
1,0,0,0,0,0,0,0,1.00,0.16,0.57,0.57,0.01,0.57,0.04,0.17
0,0,1,0,0,0,0,0,0.41,0.08,1.00,0.60,0.01,0.00,0.04,0.46
0,0,1,0,0,0,0,0,0.30,0.07,1.00,0.27,0.00,0.00,0.02,0.20
1,0,0,0,0,0,0,0,0.96,0.16,0.50,0.27,0.01,0.00,0.04,0.50
1,0,0,0,0,0,0,0,1.00,0.16,0.71,0.05,0.01,0.00,0.04,0.32
0,0,1,0,0,0,0,0,0.60,0.02,1.00,0.15,0.01,0.00,0.02,0.32
1,0,0,0,0,0,0,0,1.00,0.16,0.64,0.07,0.01,0.00,0.04,0.49
0,0,0,0,0,0,0,1,0.30,0.17,0.68,0.33,0.00,0.00,0.01,1.00
0,0,0,0,0,0,0,1,0.50,0.08,0.66,0.31,0.00,0.00,0.00,1.00
0,1,0,0,0,0,0,0,0.86,0.97,0.07,0.03,0.00,0.00,0.00,0.11
0,0,0,1,1,0,0,0,0.01,0.18,0.06,0.92,0.86,0.16,0.00,0.05
0,0,1,0,0,0,0,0,0.30,0.02,1.00,0.04,0.00,0.00,0.02,0.02
0,1,0,0,0,0,0,0,0.77,0.97,0.46,0.07,0.01,0.00,0.01,0.63
0,0,1,0,0,0,0,0,0.25,0.42,0.96,0.05,0.00,0.00,0.09,0.25
0,0,0,0,0,0,0,1,0.35,0.41,0.54,0.07,0.01,0.00,0.01,0.94
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.15,0.00,0.00,0.02,0.18
0,0,1,0,0,0,0,0,0.41,0.04,1.00,0.20,0.01,0.00,0.04,0.40
0,0,1,0,0,0,0,0,0.16,0.14,1.00,0.28,0.00,0.00,0.09,0.23
1,0,0,0,0,0,0,0,1.00,0.16,0.40,0.02,0.00,0.00,0.00,0.43
0,0,0,0,0,0,0,1,0.64,0.07,0.34,0.27,0.00,0.00,0.00,1.00
0,0,0,0,0,0,0,1,0.69,0.44,0.08,0.04,0.00,0.00,0.00,0.94
0,0,0,1,0,0,0,0,0.05,0.25,0.22,1.00,0.11,0.08,0.00,0.04
0,1,0,0,0,0,0,0,0.77,1.00,0.25,0.75,0.02,0.00,0.25,0.02
0,0,0,1,0,0,0,0,0.19,0.07,0.72,0.92,0.01,0.08,0.00,0.22
0,0,0,1,0,0,0,0,0.41,0.25,0.86,1.00,0.02,0.08,0.09,0.07
0,0,1,0,0,0,0,0,0.33,0.02,1.00,0.04,0.00,0.00,0.02,0.02
0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.16,0.86,0.00,0.00,0.00
0,0,0,0,1,0,0,0,0.00,0.18,0.00,0.29,0.86,0.16,0.00,0.05
0,0,0,0,1,0,0,0,0.41,0.18,0.50,0.92,1.00,0.16,0.04,0.08
1,0,0,0,0,0,0,0,1.00,0.16,0.46,0.07,0.01,0.00,0.01,0.63
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.05,0.00,0.00,0.02,0.14
0,1,0,0,0,0,0,0,0.77,0.97,0.17,0.17,0.00,0.00,0.00,0.25
1,0,0,0,0,0,0,0,0.96,0.16,0.07,0.02,0.00,0.00,0.00,0.02
1,0,0,0,0,0,0,0,1.00,0.16,0.70,0.20,0.00,0.00,0.02,0.25
1,0,0,0,0,0,0,0,0.96,0.16,0.69,0.05,0.00,0.00,0.01,0.02
0,0,0,1,0,0,0,0,0.01,0.18,0.06,0.92,0.86,0.16,0.00,0.05
0,0,0,1,0,0,0,0,0.05,0.25,0.22,0.92,0.86,0.16,0.00,0.05
1,0,0,0,0,0,0,0,1.00,0.16,0.07,0.02,0.00,0.00,0.00,0.02
0,0,1,0,0,0,0,0,0.77,0.20,1.00,0.07,0.01,0.00,0.14,0.50
1,0,0,0,0,0,0,0,1.00,0.16,0.07,0.02,0.00,0.00,0.00,0.02
0,0,0,1,0,0,0,0,0.86,0.25,0.22,1.00,0.08,0.08,0.06,0.38
1,0,0,0,0,0,0,0,1.00,0.03,0.86,0.05,0.00,0.00,0.19,0.15
0,0,1,0,0,0,0,0,0.50,0.02,1.00,0.06,0.00,0.00,0.02,0.13
1,0,0,0,0,0,0,0,1.00,0.16,0.80,0.05,0.00,0.00,0.00,0.02
1,0,0,0,0,0,0,0,0.96,0.42,0.07,0.04,0.00,0.00,0.00,0.25
0,0,0,1,0,0,0,0,0.86,0.25,0.22,1.00,0.08,0.08,0.00,0.13
0,1,0,0,0,0,0,0,0.86,1.00,0.34,0.33,0.00,0.00,0.00,0.20
1,0,0,0,0,0,0,0,1.00,0.16,0.58,0.07,0.00,0.00,0.00,0.26
1,0,0,0,0,0,0,0,1.00,0.38,0.46,0.33,0.00,0.33,0.00,0.17
0,0,1,0,0,0,0,0,0.77,0.16,1.00,0.28,0.01,0.00,0.04,0.23
0,0,1,0,0,0,0,0,0.50,0.14,1.00,0.08,0.00,0.00,0.09,0.01
0,0,1,0,0,0,0,0,0.93,0.07,0.96,0.05,0.00,0.00,0.02,0.17
1,0,0,0,0,0,0,0,0.99,0.20,0.34,0.33,0.00,0.00,0.00,0.20
0,0,0,0,0,0,0,1,0.48,0.33,0.60,0.27,0.00,0.00,0.06,0.94
0,0,0,1,0,0,0,0,0.27,0.88,0.34,0.92,0.01,0.08,0.00,0.20
0,0,0,1,0,0,0,0,0.86,0.22,0.62,1.00,0.08,0.08,0.04,0.50
1,0,0,0,0,0,0,0,1.00,0.16,0.69,0.27,0.00,0.00,0.01,0.50
1,0,0,0,0,0,0,0,0.96,0.16,0.76,0.03,0.00,0.00,0.02,0.02
0,1,0,0,0,0,0,0,0.86,0.97,0.33,0.03,0.00,0.00,0.00,0.50
0,0,0,0,0,0,0,1,0.73,0.44,0.46,0.07,0.00,0.00,0.00,0.94
0,0,1,0,0,0,0,0,0.56,0.16,1.00,0.18,0.00,0.00,0.02,0.26
1,0,1,0,0,0,0,0,0.96,0.16,0.57,0.57,0.01,0.57,0.04,0.17
0,0,1,0,0,0,0,0,0.96,0.16,0.57,0.57,0.00,0.57,0.00,0.17
0,0,1,0,0,0,0,0,0.18,0.04,1.00,0.20,0.00,0.00,0.02,0.18
0,0,0,0,0,0,0,1,0.96,0.16,0.98,0.27,0.00,0.00,0.06,0.20
1,0,0,0,0,0,0,0,1.00,0.16,0.09,0.02,0.00,0.00,0.00,0.50
0,0,1,0,0,0,0,0,0.36,0.03,1.00,0.07,0.01,0.00,0.02,0.55
1,1,0,0,0,0,0,0,0.96,0.97,0.22,0.56,0.02,0.00,0.00,0.02
0,0,1,0,0,0,0,0,0.63,0.02,1.00,0.01,0.01,0.00,0.02,0.38
0,1,0,0,0,0,0,0,0.86,1.00,0.46,0.64,0.00,0.00,0.06,0.50
0,1,0,0,0,0,0,0,0.86,0.97,0.07,0.03,0.00,0.00,0.00,0.10
0,0,1,0,0,0,0,0,0.19,0.07,1.00,0.27,0.00,0.00,0.02,0.20
0,0,1,0,0,0,0,0,0.96,0.38,0.33,0.02,0.00,0.00,0.00,0.10
0,0,1,0,0,0,0,0,0.16,0.14,1.00,0.05,0.00,0.00,0.09,0.07
1,0,0,0,0,0,0,0,1.00,0.38,0.07,0.02,0.00,0.00,0.00,0.29
0,0,1,0,0,0,0,0,0.13,0.25,0.96,0.56,0.13,0.00,0.13,0.02
0,0,1,0,0,0,0,0,0.60,0.09,1.00,0.16,0.00,0.00,0.02,0.05
0,0,0,0,0,0,0,1,0.40,0.13,0.46,0.07,0.01,0.00,0.01,0.94
0,0,0,0,0,0,0,1,0.38,0.03,0.50,0.07,0.01,0.00,0.01,0.94
0,1,0,0,0,0,0,0,0.77,0.97,0.07,0.03,0.00,0.00,0.00,0.02
0,1,0,0,0,0,0,0,0.77,0.97,0.07,0.13,0.00,0.00,0.00,0.86
0,1,0,0,0,0,0,0,0.86,0.97,0.07,0.03,0.00,0.00,0.00,0.10
0,1,0,0,0,0,0,0,0.77,0.97,0.22,0.56,0.02,0.00,0.00,0.02
0,0,0,1,0,0,0,0,0.05,0.25,0.22,1.00,0.11,0.08,0.00,0.04
1,0,0,0,0,0,0,0,0.96,0.16,0.69,0.05,0.00,0.00,0.01,0.02
0,0,1,0,0,0,0,0,0.16,0.14,1.00,0.05,0.00,0.00,0.25,0.07
1,0,0,0,0,0,0,0,1.00,0.38,0.50,0.05,0.01,0.00,0.04,0.10
0,0,1,0,0,0,0,0,0.77,0.20,1.00,0.06,0.01,0.00,0.19,0.33
0,0,1,0,0,0,0,0,0.50,0.17,1.00,0.07,0.01,0.00,0.19,0.33
0,0,1,0,0,0,0,0,0.77,0.16,1.00,0.33,0.01,0.00,0.04,0.50
0,0,1,0,0,0,0,0,0.77,0.40,1.00,0.30,0.01,0.00,0.04,0.20
1,0,0,0,0,0,0,0,1.00,0.16,0.66,0.16,0.00,0.00,0.00,0.13
0,0,1,0,0,0,0,0,0.46,0.02,1.00,0.05,0.00,0.00,0.02,0.02
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.14,0.00,0.00,0.02,0.13
1,0,0,0,0,0,0,0,1.00,0.16,0.90,0.02,0.00,0.00,0.00,0.25
1,0,0,0,0,0,0,0,1.00,0.16,0.96,0.02,0.01,0.00,0.02,0.32
0,0,1,0,0,0,0,0,0.12,0.09,1.00,0.01,0.00,0.00,0.02,0.23
0,0,1,0,0,0,0,0,0.45,0.09,1.00,0.15,0.00,0.00,0.02,0.33
0,0,1,0,0,0,0,0,0.77,0.16,1.00,0.20,0.00,0.00,0.02,0.15
0,0,1,0,0,0,0,0,0.31,0.07,1.00,0.28,0.00,0.00,0.04,0.23
1,0,0,0,0,0,0,0,0.96,0.16,0.69,0.05,0.01,0.00,0.04,0.40
0,0,1,1,0,0,0,0,0.77,0.62,1.00,1.00,0.01,0.08,0.04,0.26
0,0,1,0,0,0,0,0,0.48,0.17,1.00,0.20,0.00,0.00,0.02,0.23
0,0,1,0,0,0,0,0,0.48,0.09,1.00,0.16,0.00,0.00,0.02,0.18
0,0,1,0,0,0,0,0,0.31,0.09,1.00,0.17,0.00,0.00,0.04,0.33
0,0,1,0,0,0,0,0,0.38,0.02,0.96,0.05,0.00,0.00,0.02,0.01
0,0,1,0,0,0,0,0,0.46,0.02,1.00,0.17,0.00,0.00,0.02,0.02
0,0,1,0,0,0,0,0,0.44,0.15,0.96,0.06,0.01,0.00,0.07,0.25
1,0,0,0,0,0,0,0,1.00,0.17,0.96,0.05,0.01,0.00,0.14,0.33
1,0,1,0,0,0,0,0,1.00,0.16,0.96,0.06,0.13,0.00,0.13,0.25
1,0,0,0,0,0,0,0,0.99,0.16,0.55,0.05,0.01,0.00,0.19,0.07
1,0,0,0,0,0,0,0,1.00,0.16,0.14,0.02,0.00,0.00,0.00,0.16
0,0,1,0,0,0,0,0,0.86,0.02,1.00,0.15,0.00,0.00,0.02,0.18
0,0,1,0,0,0,0,0,0.46,0.03,1.00,0.07,0.00,0.00,0.02,0.50
0,0,1,0,0,0,0,0,0.12,0.04,1.00,0.20,0.00,0.00,0.02,0.13
1,0,0,0,0,0,0,0,1.00,0.38,0.62,0.06,0.00,0.00,0.04,0.10
0,0,1,0,0,0,0,0,0.46,0.04,1.00,0.07,0.01,0.00,0.04,0.33
0,0,1,0,0,0,0,0,0.12,0.04,1.00,0.20,0.00,0.00,0.02,0.20
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.06,0.00,0.00,0.02,0.13
0,0,1,0,0,0,0,0,0.50,0.07,1.00,0.17,0.00,0.00,0.04,0.26
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.05,0.00,0.00,0.02,0.01
1,0,0,0,0,0,0,0,1.00,0.50,0.93,0.07,0.01,0.00,0.04,0.26
0,0,1,0,0,0,0,0,0.46,0.02,1.00,0.05,0.00,0.00,0.02,0.07
0,0,1,0,0,0,0,0,0.44,0.40,1.00,0.31,0.01,0.00,0.04,0.26
1,0,0,0,0,0,0,0,0.96,0.16,0.25,0.02,0.00,0.00,0.00,0.25
0,0,1,0,0,0,0,0,0.77,0.16,1.00,0.07,0.01,0.00,0.06,0.26
0,0,1,0,0,0,0,0,0.46,0.07,1.00,0.15,0.00,0.00,0.04,0.18
0,0,1,0,0,0,0,0,0.50,0.20,1.00,0.05,0.01,0.00,0.33,0.15
0,0,1,0,0,0,0,0,0.41,0.04,1.00,0.05,0.01,0.00,0.04,0.07
0,0,1,0,0,0,0,0,0.38,0.07,1.00,0.06,0.00,0.00,0.04,0.13
0,0,0,0,0,0,0,1,0.71,0.40,0.50,0.05,0.01,0.00,0.04,1.00
0,0,0,0,0,0,0,1,0.41,0.04,0.96,0.05,0.01,0.00,0.04,1.00
0,0,1,0,0,0,0,0,0.69,0.14,1.00,0.13,0.01,0.00,0.04,0.10
1,0,0,0,0,0,0,0,1.00,0.16,0.07,0.02,0.00,0.00,0.00,0.02
0,0,1,0,0,0,0,0,0.46,0.02,1.00,0.15,0.00,0.00,0.02,0.18
0,0,1,0,0,0,0,0,0.45,0.07,1.00,0.27,0.01,0.00,0.09,0.20
0,0,1,0,0,0,0,0,0.45,0.03,1.00,0.17,0.00,0.00,0.09,0.15
0,0,1,0,0,0,0,0,0.41,0.07,1.00,0.33,0.01,0.00,0.04,0.20
1,0,0,0,0,0,0,0,0.96,0.16,0.07,0.02,0.00,0.00,0.00,0.02
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.08,0.00,0.00,0.02,0.08
0,0,1,0,0,0,0,0,0.50,0.04,1.00,0.05,0.01,0.00,0.60,0.07
1,0,0,0,0,0,0,0,1.00,0.16,0.32,0.33,0.00,0.33,0.00,0.21
1,0,0,0,0,0,0,0,1.00,0.16,0.50,0.02,0.00,0.00,0.00,0.21
1,0,0,0,0,0,0,0,0.96,0.16,0.07,0.02,0.00,0.00,0.00,0.02
1,0,0,0,0,0,0,0,1.00,0.16,0.07,0.02,0.00,0.00,0.00,0.02
0,0,1,0,0,0,0,0,0.60,0.14,0.96,0.43,0.00,0.43,0.09,0.25
0,0,1,0,0,0,0,0,0.41,0.04,1.00,0.05,0.01,0.00,0.04,0.07
1,0,1,0,0,0,0,0,1.00,0.16,1.00,0.05,0.01,0.00,0.04,0.07
0,0,1,0,0,0,0,0,0.16,0.14,1.00,0.05,0.00,0.00,0.09,0.07
0,1,0,0,0,0,0,0,0.77,0.97,0.40,0.03,0.00,0.00,0.00,0.15
0,1,0,0,0,0,0,0,0.77,1.00,0.62,0.31,0.01,0.00,0.04,0.29
0,1,0,0,0,0,0,0,0.86,1.00,0.26,0.05,0.00,0.00,0.00,0.11
1,1,0,0,0,0,0,0,1.00,1.00,0.34,0.64,0.00,0.00,0.00,0.46
0,1,0,0,0,0,0,0,0.86,1.00,0.07,0.03,0.00,0.00,0.00,0.10
0,1,0,0,0,0,0,0,0.86,1.00,0.50,0.29,0.50,0.16,0.04,0.29
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.08,0.00,0.00,0.02,0.08
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.08,0.00,0.00,0.02,0.08
0,0,1,0,0,0,0,0,0.48,0.17,1.00,0.16,0.00,0.00,0.02,0.18
0,0,1,0,0,0,0,0,0.77,0.16,1.00,0.20,0.00,0.00,0.04,0.18
0,0,1,0,0,0,0,0,0.31,0.07,1.00,0.27,0.00,0.00,0.04,0.33
0,0,1,0,0,0,0,0,0.16,0.12,1.00,0.07,0.13,0.00,0.50,0.05
0,0,1,0,0,0,0,0,0.45,0.07,1.00,0.17,0.01,0.00,0.14,0.15
1,0,1,0,0,0,0,0,1.00,0.16,1.00,0.07,0.01,0.00,0.01,0.32
0,0,1,0,0,0,0,0,0.71,0.07,1.00,0.06,0.01,0.00,0.19,0.14
0,0,1,0,0,0,0,0,0.32,0.14,1.00,0.07,0.00,0.00,0.09,0.26
0,0,1,0,0,0,0,0,0.43,0.02,1.00,0.01,0.01,0.00,0.02,0.32
1,0,1,0,0,0,0,0,1.00,0.16,1.00,0.02,0.01,0.00,0.02,0.32
0,0,1,0,0,0,0,0,0.29,0.20,1.00,0.31,0.00,0.00,0.02,0.46
0,0,1,0,0,0,0,0,0.38,0.02,1.00,0.08,0.00,0.00,0.02,0.08
0,0,1,0,0,0,0,0,0.16,0.14,1.00,0.08,0.00,0.00,0.09,0.01
0,0,1,0,0,0,0,0,0.16,0.14,1.00,0.05,0.00,0.00,0.09,0.01
0,0,1,0,0,0,0,0,0.50,0.04,1.00,0.50,0.00,0.00,0.02,0.26
0,0,1,0,0,0,0,0,0.69,0.14,1.00,0.05,0.00,0.00,0.09,0.40
0,0,1,0,0,0,0,0,0.48,0.50,1.00,0.16,0.00,0.00,0.02,0.05
0,0,1,0,0,0,0,0,0.22,0.04,1.00,0.20,0.00,0.00,0.02,0.26
0,0,1,0,0,0,0,0,0.16,0.14,1.00,0.15,0.00,0.00,0.02,0.18
0,0,1,0,0,0,0,0,0.46,0.03,1.00,0.28,0.00,0.00,0.02,0.26
0,0,1,0,0,0,0,0,0.30,0.02,0.96,0.02,0.00,0.00,0.02,0.02
0,0,1,0,0,0,0,0,0.71,0.25,1.00,0.56,0.02,0.00,0.02,0.25
0,0,1,0,0,0,0,0,0.44,0.33,1.00,0.07,0.01,0.00,0.07,0.67
0,0,1,0,0,0,0,0,0.31,0.22,0.96,0.06,0.00,0.00,0.05,0.94
